time,acc_x,acc_y,acc_z,roll,pitch,yaw
2021-09-22 20:21:34.417216,0.0009765625,-0.0166015625,1.00341796875,-1.1700439453125,-0.054931640625,9.437255859375
2021-09-22 20:21:34.427178,-0.005859375,-0.01123046875,1.00830078125,-1.142578125,-0.054931640625,9.4207763671875
2021-09-22 20:21:34.437250,-0.009765625,-0.01318359375,1.0068359375,-1.109619140625,-0.0439453125,9.404296875
2021-09-22 20:21:34.447182,-0.00830078125,-0.0146484375,1.00439453125,-1.07666015625,-0.02197265625,9.3878173828125
2021-09-22 20:21:34.457140,-0.0087890625,-0.021484375,1.00048828125,-1.043701171875,0.0,9.3658447265625
2021-09-22 20:21:34.466999,-0.00732421875,-0.02294921875,1.00537109375,-1.0162353515625,0.0274658203125,9.349365234375
2021-09-22 20:21:34.476589,-0.01025390625,-0.01904296875,1.00390625,-0.98876953125,0.054931640625,9.3328857421875
2021-09-22 20:21:34.487051,-0.01123046875,-0.01416015625,1.0029296875,-0.966796875,0.0823974609375,9.3218994140625
2021-09-22 20:21:34.496914,-0.01123046875,-0.01171875,1.00537109375,-0.94482421875,0.098876953125,9.3109130859375
2021-09-22 20:21:34.507490,-0.0107421875,-0.00927734375,1.00244140625,-0.9228515625,0.1153564453125,9.2999267578125
2021-09-22 20:21:34.516970,-0.00927734375,-0.013671875,1.00927734375,-0.911865234375,0.1263427734375,9.2889404296875
2021-09-22 20:21:34.526854,-0.00634765625,-0.01806640625,1.0048828125,-0.90087890625,0.142822265625,9.2779541015625
2021-09-22 20:21:34.536819,-0.0048828125,-0.017578125,1.0029296875,-0.8953857421875,0.1593017578125,9.2669677734375
2021-09-22 20:21:34.546878,-0.0078125,-0.01318359375,1.005859375,-0.889892578125,0.1702880859375,9.261474609375
2021-09-22 20:21:34.556823,-0.0107421875,-0.0107421875,1.0087890625,-0.889892578125,0.17578125,9.2559814453125
2021-09-22 20:21:34.566777,-0.01123046875,-0.0087890625,1.0048828125,-0.889892578125,0.1812744140625,9.25048828125
2021-09-22 20:21:34.576636,-0.01318359375,-0.0078125,1.00927734375,-0.889892578125,0.186767578125,9.239501953125
2021-09-22 20:21:34.586726,-0.01025390625,-0.01123046875,1.01416015625,-0.889892578125,0.19775390625,9.228515625
2021-09-22 20:21:34.596650,-0.00634765625,-0.01708984375,1.00830078125,-0.8953857421875,0.2142333984375,9.2230224609375
2021-09-22 20:21:34.606576,-0.00341796875,-0.0166015625,1.01123046875,-0.8953857421875,0.24169921875,9.217529296875
2021-09-22 20:21:34.616560,-0.001953125,-0.01708984375,1.00634765625,-0.8953857421875,0.274658203125,9.217529296875
2021-09-22 20:21:34.626627,-0.001953125,-0.01318359375,1.009765625,-0.8953857421875,0.296630859375,9.217529296875
2021-09-22 20:21:34.636499,-0.0009765625,-0.01220703125,1.009765625,-0.90087890625,0.318603515625,9.2230224609375
2021-09-22 20:21:34.646548,0.00048828125,-0.01171875,1.00537109375,-0.9063720703125,0.32958984375,9.2340087890625
2021-09-22 20:21:34.656473,-0.001953125,-0.01123046875,1.0126953125,-0.911865234375,0.3350830078125,9.239501953125
2021-09-22 20:21:34.666365,-0.0048828125,-0.0126953125,1.01904296875,-0.9228515625,0.3460693359375,9.25048828125
2021-09-22 20:21:34.676334,-0.00146484375,-0.01416015625,1.01220703125,-0.9283447265625,0.3570556640625,9.2559814453125
2021-09-22 20:21:34.686416,0.0009765625,-0.0146484375,1.0107421875,-0.933837890625,0.3680419921875,9.2724609375
2021-09-22 20:21:34.696297,0.00244140625,-0.01708984375,1.01025390625,-0.94482421875,0.37353515625,9.2889404296875
2021-09-22 20:21:34.706394,0.0029296875,-0.0205078125,1.0126953125,-0.955810546875,0.37353515625,9.3109130859375
2021-09-22 20:21:34.716245,0.0009765625,-0.01611328125,1.01220703125,-0.966796875,0.362548828125,9.3328857421875
2021-09-22 20:21:34.726270,-0.00146484375,-0.01416015625,1.0166015625,-0.9722900390625,0.340576171875,9.3548583984375
2021-09-22 20:21:34.736221,-0.00390625,-0.01611328125,1.017578125,-0.977783203125,0.318603515625,9.371337890625
2021-09-22 20:21:34.746055,-0.0048828125,-0.0166015625,1.0205078125,-0.9722900390625,0.3076171875,9.3768310546875
2021-09-22 20:21:34.756178,-0.005859375,-0.02099609375,1.025390625,-0.9613037109375,0.3076171875,9.3878173828125
2021-09-22 20:21:34.766035,-0.00439453125,-0.025390625,1.021484375,-0.9503173828125,0.3240966796875,9.3878173828125
2021-09-22 20:21:34.776008,-0.00048828125,-0.025390625,1.01806640625,-0.933837890625,0.3515625,9.393310546875
2021-09-22 20:21:34.786221,0.0009765625,-0.0205078125,1.0166015625,-0.911865234375,0.3680419921875,9.3988037109375
2021-09-22 20:21:34.796006,-0.00244140625,-0.01953125,1.0185546875,-0.889892578125,0.37353515625,9.404296875
2021-09-22 20:21:34.805920,-0.0009765625,-0.01708984375,1.01904296875,-0.8734130859375,0.362548828125,9.4097900390625
2021-09-22 20:21:34.816007,0.0009765625,-0.0126953125,1.01953125,-0.845947265625,0.3460693359375,9.4097900390625
2021-09-22 20:21:34.825956,0.0,-0.015625,1.02001953125,-0.81298828125,0.3350830078125,9.404296875
2021-09-22 20:21:34.835171,-0.0029296875,-0.01513671875,1.0185546875,-0.7745361328125,0.3240966796875,9.3988037109375
2021-09-22 20:21:34.845838,-0.00244140625,-0.01904296875,1.0185546875,-0.7305908203125,0.3240966796875,9.393310546875
2021-09-22 20:21:34.855862,-0.00439453125,-0.0224609375,1.0166015625,-0.692138671875,0.3240966796875,9.393310546875
2021-09-22 20:21:34.865756,-0.00634765625,-0.0185546875,1.02099609375,-0.6536865234375,0.3131103515625,9.393310546875
2021-09-22 20:21:34.875704,-0.005859375,-0.01611328125,1.02294921875,-0.6207275390625,0.3021240234375,9.393310546875
2021-09-22 20:21:34.885595,-0.0078125,-0.01513671875,1.0185546875,-0.5877685546875,0.2911376953125,9.393310546875
2021-09-22 20:21:34.895647,-0.00341796875,-0.01611328125,1.015625,-0.560302734375,0.2691650390625,9.393310546875
2021-09-22 20:21:34.905792,-0.00439453125,-0.01513671875,1.01318359375,-0.538330078125,0.252685546875,9.3878173828125
2021-09-22 20:21:34.915491,-0.0078125,-0.01318359375,1.01708984375,-0.52734375,0.230712890625,9.3878173828125
2021-09-22 20:21:34.925615,-0.0068359375,-0.01220703125,1.01318359375,-0.516357421875,0.2197265625,9.3878173828125
2021-09-22 20:21:34.935620,-0.00634765625,-0.01025390625,1.01220703125,-0.5108642578125,0.2032470703125,9.3878173828125
2021-09-22 20:21:34.945485,-0.00439453125,-0.00732421875,1.01123046875,-0.50537109375,0.1922607421875,9.393310546875
2021-09-22 20:21:34.955592,-0.00048828125,-0.00830078125,1.00927734375,-0.50537109375,0.17578125,9.3988037109375
2021-09-22 20:21:34.965556,0.0048828125,-0.00927734375,1.0048828125,-0.5108642578125,0.164794921875,9.4097900390625
2021-09-22 20:21:34.975369,0.0068359375,-0.01123046875,1.00537109375,-0.5218505859375,0.1483154296875,9.4207763671875
2021-09-22 20:21:34.985329,0.00439453125,-0.01416015625,1.00244140625,-0.5328369140625,0.1373291015625,9.437255859375
2021-09-22 20:21:34.995400,0.00048828125,-0.01318359375,1.005859375,-0.54931640625,0.1318359375,9.459228515625
2021-09-22 20:21:35.005985,-0.0029296875,-0.009765625,1.0068359375,-0.5712890625,0.120849609375,9.4866943359375
2021-09-22 20:21:35.015267,-0.009765625,-0.00537109375,1.00634765625,-0.59326171875,0.1153564453125,9.5196533203125
2021-09-22 20:21:35.025148,-0.01025390625,-0.00341796875,1.00830078125,-0.6097412109375,0.10986328125,9.547119140625
2021-09-22 20:21:35.035264,-0.009765625,-0.00390625,1.01171875,-0.6317138671875,0.10986328125,9.5745849609375
2021-09-22 20:21:35.045130,-0.00634765625,-0.009765625,1.01025390625,-0.648193359375,0.10986328125,9.5965576171875
2021-09-22 20:21:35.055153,-0.00439453125,-0.01220703125,1.01220703125,-0.670166015625,0.120849609375,9.613037109375
2021-09-22 20:21:35.065147,-0.00390625,-0.01806640625,1.009765625,-0.6976318359375,0.142822265625,9.6405029296875
2021-09-22 20:21:35.074993,-0.00439453125,-0.02001953125,0.99853515625,-0.7196044921875,0.1593017578125,9.66796875
2021-09-22 20:21:35.084959,-0.00439453125,-0.0166015625,0.99853515625,-0.7525634765625,0.1702880859375,9.6954345703125
2021-09-22 20:21:35.094848,-0.00341796875,-0.013671875,0.9990234375,-0.780029296875,0.1702880859375,9.7283935546875
2021-09-22 20:21:35.105140,-0.0029296875,-0.0107421875,1.0,-0.81298828125,0.164794921875,9.755859375
2021-09-22 20:21:35.114903,-0.00341796875,-0.01025390625,1.00146484375,-0.845947265625,0.1483154296875,9.77783203125
2021-09-22 20:21:35.124777,-0.00634765625,-0.01025390625,1.00390625,-0.87890625,0.142822265625,9.7943115234375
2021-09-22 20:21:35.134856,-0.00634765625,-0.0126953125,0.998046875,-0.9063720703125,0.1483154296875,9.810791015625
2021-09-22 20:21:35.144774,-0.0029296875,-0.01513671875,1.00146484375,-0.933837890625,0.1593017578125,9.82177734375
2021-09-22 20:21:35.154848,-0.00439453125,-0.021484375,0.998046875,-0.9613037109375,0.186767578125,9.8382568359375
2021-09-22 20:21:35.164804,-0.0029296875,-0.01904296875,0.9921875,-0.977783203125,0.2142333984375,9.854736328125
2021-09-22 20:21:35.174698,-0.00390625,-0.015625,0.99755859375,-0.999755859375,0.2362060546875,9.8712158203125
2021-09-22 20:21:35.184641,-0.0068359375,-0.0126953125,0.99560546875,-1.0162353515625,0.252685546875,9.8931884765625
2021-09-22 20:21:35.194569,-0.0078125,-0.0087890625,1.0,-1.03271484375,0.263671875,9.90966796875
2021-09-22 20:21:35.204477,-0.009765625,-0.009765625,1.00439453125,-1.0491943359375,0.263671875,9.920654296875
2021-09-22 20:21:35.214529,-0.00830078125,-0.013671875,1.00537109375,-1.065673828125,0.2691650390625,9.931640625
2021-09-22 20:21:35.224492,-0.0078125,-0.01953125,1.00244140625,-1.087646484375,0.2801513671875,9.9481201171875
2021-09-22 20:21:35.234544,-0.00634765625,-0.02294921875,0.99951171875,-1.109619140625,0.296630859375,9.964599609375
2021-09-22 20:21:35.244530,-0.0068359375,-0.0263671875,0.99658203125,-1.131591796875,0.318603515625,9.986572265625
2021-09-22 20:21:35.254435,-0.009765625,-0.02392578125,0.9970703125,-1.1590576171875,0.3460693359375,10.01953125
